space,date,tide.1,tide.2,tide.3,tide.4
목포,2021-05-28,03:31/고/516,08:41/저/35,15:29/고/397,20:42/저/-40
여수,2021-05-28,04:14/저/51,10:12/고/307,16:10/저/15,22:56/고/361
속초,2021-05-28,05:24/고/28,09:51/저/22,15:37/고/39,23:18/저/1
부산,2021-05-28,03:20/저/-1,09:30/고/118,15:24/저/2,22:07/고/129
포항,2021-05-28,15:49/고/47,--:--/-/--/--,--:--/-/--/--,--:--/-/--/--
통영,2021-05-28,03:57/저/32,09:54/고/236,15:52/저/4,22:43/고/279
태안,2021-05-28,05:30/고/781,11:57/저/89,17:39/고/660,23:52/저/11
울산,2021-05-28,02:28/저/4,09:07/고/63,14:38/저/20,21:00/고/60
울릉도,2021-05-28,05:35/고/32,09:11/저/30,14:57/고/41,22:53/저/8
제주도,2021-05-28,06:22/저/78,11:29/고/233,18:10/저/11,--:--/-/--/--
인천,2021-05-28,06:01/고/940,12:29/저/85,18:14/고/816,--:--/-/--/--
영흥도,2021-05-28,05:50/고/876,12:15/저/91,18:00/고/757,--:--/-/--/--
목포,2021-05-29,04:20/고/512,09:26/저/55,16:16/고/384,21:26/저/-18
여수,2021-05-29,05:01/저/66,10:57/고/290,16:54/저/33,23:43/고/343
속초,2021-05-29,06:42/고/27,10:30/저/24,16:22/고/39,--:--/-/--/--
부산,2021-05-29,04:06/저/5,10:15/고/111,16:08/저/11,22:51/고/122
포항,2021-05-29,00:21/저/22,16:34/고/48,--:--/-/--/--,--:--/-/--/--
통영,2021-05-29,04:44/저/45,10:38/고/223,16:37/저/20,23:30/고/265
태안,2021-05-29,06:17/고/771,12:44/저/112,18:24/고/638,--:--/-/--/--
울산,2021-05-29,03:12/저/5,09:54/고/61,15:23/저/25,21:35/고/58
울릉도,2021-05-29,07:03/고/33,09:37/저/32,15:41/고/42,23:51/저/9
제주도,2021-05-29,00:41/고/297,07:13/저/91,12:14/고/221,18:57/저/27
인천,2021-05-29,00:29/저/1,06:47/고/924,13:14/저/113,18:59/고/790
영흥도,2021-05-29,00:15/저/0,06:35/고/860,13:01/저/117,18:44/고/731
목포,2021-05-30,05:09/고/497,10:14/저/79,17:04/고/369,22:12/저/14
여수,2021-05-30,05:51/저/86,11:43/고/269,17:40/저/57,--:--/-/--/--
속초,2021-05-30,00:14/저/2,08:00/고/27,11:12/저/25,17:12/고/38
부산,2021-05-30,04:53/저/14,11:02/고/103,16:54/저/21,23:35/고/113
포항,2021-05-30,01:19/저/22,17:25/고/48,--:--/-/--/--,--:--/-/--/--
통영,2021-05-30,05:32/저/62,11:24/고/207,17:22/저/40,--:--/-/--/--
태안,2021-05-30,00:36/저/34,07:04/고/748,13:31/저/143,19:10/고/612
울산,2021-05-30,03:58/저/8,10:43/고/58,16:10/저/28,22:09/고/56
울릉도,2021-05-30,16:30/고/41,--:--/-/--/--,--:--/-/--/--,--:--/-/--/--
제주도,2021-05-30,01:36/고/283,08:08/저/107,13:02/고/207,19:47/저/50
인천,2021-05-30,01:12/저/30,07:32/고/895,13:59/저/150,19:44/고/758
영흥도,2021-05-30,00:58/저/31,07:20/고/831,13:47/저/151,19:29/고/698
목포,2021-05-31,05:58/고/473,11:06/저/104,17:53/고/353,23:01/저/53
여수,2021-05-31,00:33/고/318,06:44/저/107,12:34/고/247,18:31/저/84
속초,2021-05-31,01:13/저/4,09:18/고/26,12:02/저/25,18:05/고/36
부산,2021-05-31,05:42/저/24,11:54/고/96,17:43/저/32,--:--/-/--/--
포항,2021-05-31,02:15/저/23,18:23/고/47,--:--/-/--/--,--:--/-/--/--
통영,2021-05-31,00:18/고/245,06:25/저/79,12:15/고/191,18:12/저/62
태안,2021-05-31,01:20/저/70,07:51/고/713,14:19/저/177,19:58/고/583
울산,2021-05-31,04:46/저/12,11:36/고/54,17:00/저/31,22:44/고/52
울릉도,2021-05-31,00:51/저/11,17:25/고/40,--:--/-/--/--,--:--/-/--/--
제주도,2021-05-31,02:35/고/265,09:09/저/120,13:58/고/194,20:42/저/75
인천,2021-05-31,01:55/저/74,08:17/고/854,14:46/저/192,20:30/고/722
영흥도,2021-05-31,01:41/저/75,08:06/고/792,14:35/저/190,20:17/고/660
목포,2021-06-01,06:47/고/444,12:02/저/125,18:48/고/339,23:58/저/94
여수,2021-06-01,01:27/고/292,07:46/저/124,13:36/고/229,19:29/저/109
속초,2021-06-01,02:14/저/6,10:34/고/26,13:29/저/25,19:06/고/33
부산,2021-06-01,00:21/고/105,06:37/저/34,12:57/고/90,18:40/저/42
포항,2021-06-01,03:12/저/25,19:30/고/45,--:--/-/--/--,--:--/-/--/--
통영,2021-06-01,01:10/고/226,07:24/저/94,13:16/고/179,19:09/저/83
태안,2021-06-01,02:07/저/116,08:40/고/671,15:11/저/210,20:53/고/553
울산,2021-06-01,05:37/저/16,12:40/고/50,18:00/저/33,23:30/고/48
울릉도,2021-06-01,01:51/저/13,18:30/고/37,--:--/-/--/--,--:--/-/--/--
제주도,2021-06-01,03:42/고/247,10:16/저/128,15:11/고/184,21:46/저/99
인천,2021-06-01,02:41/저/129,09:05/고/805,15:36/저/234,21:23/고/684
영흥도,2021-06-01,02:26/저/129,08:55/고/745,15:26/저/228,21:10/고/622
목포,2021-06-02,07:39/고/414,13:07/저/138,19:50/고/331,--:--/-/--/--
여수,2021-06-02,02:30/고/269,09:00/저/132,14:53/고/219,20:40/저/128
속초,2021-06-02,03:14/저/9,11:26/고/27,15:15/저/25,20:15/고/30
부산,2021-06-02,01:18/고/97,07:43/저/40,14:16/고/87,19:48/저/48
포항,2021-06-02,04:08/저/26,12:35/고/40,16:15/저/39,20:46/고/42
통영,2021-06-02,02:09/고/209,08:33/저/102,14:34/고/174,20:16/저/99
태안,2021-06-02,03:00/저/167,09:35/고/627,16:11/저/234,21:58/고/530
울산,2021-06-02,06:37/저/19,13:52/고/48,19:10/저/33,--:--/-/--/--
울릉도,2021-06-02,02:52/저/16,11:19/고/32,15:00/저/31,19:48/고/34
제주도,2021-06-02,04:54/고/233,11:27/저/129,16:51/고/181,22:59/저/117
인천,2021-06-02,03:32/저/191,09:58/고/754,16:34/저/267,22:26/고/653
영흥도,2021-06-02,03:18/저/188,09:50/고/697,16:26/저/258,22:16/고/592
목포,2021-06-03,01:07/저/128,08:37/고/388,14:16/저/140,21:03/고/333
여수,2021-06-03,03:42/고/253,10:15/저/129,16:17/고/222,22:02/저/136
속초,2021-06-03,04:12/저/11,11:55/고/27,16:47/저/23,21:39/고/28
부산,2021-06-03,02:32/고/91,08:58/저/43,15:33/고/89,21:04/저/51
포항,2021-06-03,05:01/저/27,13:09/고/39,17:53/저/37,22:11/고/39
통영,2021-06-03,03:19/고/198,09:47/저/102,15:57/고/177,21:33/저/107
태안,2021-06-03,04:05/저/216,10:38/고/589,17:18/저/243,23:17/고/525
울산,2021-06-03,00:41/고/45,07:48/저/22,14:58/고/48,20:27/저/31
울릉도,2021-06-03,03:49/저/18,11:26/고/32,16:40/저/28,21:20/고/32
제주도,2021-06-03,05:59/고/224,12:31/저/124,18:29/고/188,--:--/-/--/--
인천,2021-06-03,04:34/저/247,11:01/고/709,17:42/저/282,23:43/고/643
영흥도,2021-06-03,04:22/저/240,10:55/고/657,17:35/저/268,23:35/고/585
목포,2021-06-04,02:27/저/149,09:39/고/370,15:22/저/131,22:19/고/348
여수,2021-06-04,04:53/고/246,11:16/저/119,17:28/고/234,23:20/저/135
속초,2021-06-04,05:05/저/14,12:13/고/29,18:02/저/20,23:13/고/27
부산,2021-06-04,03:53/고/90,10:08/저/42,16:36/고/94,22:17/저/49
포항,2021-06-04,05:50/저/29,13:38/고/39,19:10/저/34,23:56/고/37
통영,2021-06-04,04:31/고/194,10:52/저/95,17:08/고/187,22:51/저/107
태안,2021-06-04,05:22/저/247,11:48/고/567,18:26/저/233,--:--/-/--/--
울산,2021-06-04,02:32/고/43,09:04/저/23,15:51/고/48,21:38/저/27
울릉도,2021-06-04,04:38/저/20,11:37/고/33,17:50/저/25,23:00/고/30
제주도,2021-06-04,00:16/저/129,06:52/고/217,13:24/저/115,19:39/고/199
인천,2021-06-04,05:50/저/284,12:14/고/684,18:53/저/270,--:--/-/--/--
영흥도,2021-06-04,05:41/저/270,12:07/고/635,18:46/저/252,--:--/-/--/--
목포,2021-06-05,03:43/저/153,10:39/고/361,16:18/저/116,23:23/고/370
여수,2021-06-05,05:51/고/245,12:01/저/107,18:22/고/251,--:--/-/--/--
속초,2021-06-05,05:49/저/16,12:28/고/30,18:57/저/18,--:--/-/--/--
부산,2021-06-05,04:59/고/92,11:04/저/38,17:28/고/99,23:19/저/44
포항,2021-06-05,06:33/저/31,13:57/고/38,20:12/저/32,--:--/-/--/--
통영,2021-06-05,05:30/고/195,11:42/저/85,18:02/고/200,23:54/저/102
태안,2021-06-05,00:35/고/544,06:42/저/252,12:55/고/563,19:25/저/207
울산,2021-06-05,04:02/고/43,10:09/저/23,16:36/고/49,22:35/저/23
울릉도,2021-06-05,05:20/저/23,11:50/고/34,18:41/저/23,--:--/-/--/--
제주도,2021-06-05,01:29/저/133,07:33/고/213,14:06/저/106,20:28/고/211
인천,2021-06-05,01:02/고/665,07:10/저/288,13:24/고/683,19:54/저/238
영흥도,2021-06-05,00:54/고/608,07:02/저/269,13:16/고/634,19:46/저/218
목포,2021-06-06,04:46/저/146,11:31/고/357,17:04/저/99,--:--/-/--/--
여수,2021-06-06,00:20/저/127,06:35/고/248,12:39/저/93,19:05/고/268
속초,2021-06-06,00:43/고/27,06:27/저/19,12:46/고/32,19:41/저/16
부산,2021-06-06,05:49/고/94,11:50/저/34,18:11/고/105,--:--/-/--/--
포항,2021-06-06,01:55/고/36,07:07/저/33,14:00/고/38,21:01/저/30
통영,2021-06-06,06:16/고/198,12:23/저/75,18:47/고/214,--:--/-/--/--
태안,2021-06-06,01:39/고/579,07:49/저/237,13:50/고/571,20:12/저/177
울산,2021-06-06,05:05/고/45,11:01/저/22,17:17/고/50,23:22/저/20
울릉도,2021-06-06,00:32/고/30,05:52/저/25,12:05/고/35,19:20/저/22
제주도,2021-06-06,02:30/저/133,08:07/고/210,14:42/저/96,21:06/고/223
인천,2021-06-06,02:07/고/708,08:19/저/266,14:20/고/698,20:43/저/199
영흥도,2021-06-06,01:58/고/651,08:09/저/245,14:12/고/648,20:34/저/178
목포,2021-06-07,00:15/고/394,05:37/저/135,12:15/고/357,17:44/저/82
여수,2021-06-07,01:06/저/118,07:12/고/252,13:13/저/81,19:42/고/285
속초,2021-06-07,01:52/고/27,07:00/저/21,13:06/고/34,20:18/저/14
부산,2021-06-07,00:08/저/38,06:28/고/97,12:29/저/30,18:50/고/109
포항,2021-06-07,03:31/고/37,07:35/저/35,13:51/고/39,21:40/저/29
통영,2021-06-07,00:44/저/94,06:54/고/201,12:59/저/65,19:26/고/226
태안,2021-06-07,02:29/고/617,08:43/저/215,14:35/고/584,20:51/저/149
울산,2021-06-07,05:53/고/47,11:45/저/22,17:55/고/52,--:--/-/--/--
울릉도,2021-06-07,01:48/고/31,06:20/저/28,12:23/고/37,19:53/저/21
제주도,2021-06-07,03:19/저/130,08:39/고/209,15:14/저/87,21:40/고/234
인천,2021-06-07,02:57/고/754,09:12/저/237,15:06/고/718,21:24/저/162
영흥도,2021-06-07,02:49/고/697,09:03/저/214,14:58/고/665,21:14/저/141
목포,2021-06-08,00:59/고/414,06:20/저/124,12:53/고/359,18:20/저/68
여수,2021-06-08,01:45/저/108,07:45/고/257,13:46/저/70,20:18/고/301
속초,2021-06-08,02:47/고/28,07:30/저/23,13:29/고/35,20:52/저/12
부산,2021-06-08,00:49/저/32,07:03/고/100,13:04/저/26,19:26/고/114
포항,2021-06-08,04:55/고/38,07:20/저/37,13:47/고/40,22:15/저/28
통영,2021-06-08,01:26/저/86,07:27/고/205,13:32/저/56,20:02/고/237
태안,2021-06-08,03:10/고/651,09:26/저/194,15:13/고/596,21:26/저/125
울산,2021-06-08,00:02/저/16,06:33/고/50,12:23/저/22,18:32/고/53
울릉도,2021-06-08,02:53/고/32,06:44/저/30,12:43/고/38,20:24/저/20
제주도,2021-06-08,04:01/저/126,09:11/고/209,15:44/저/78,22:12/고/245
인천,2021-06-08,03:38/고/794,09:56/저/210,15:45/고/736,22:00/저/133
영흥도,2021-06-08,03:31/고/736,09:47/저/188,15:38/고/680,21:51/저/112
목포,2021-06-09,01:39/고/430,06:58/저/114,13:29/고/361,18:52/저/56
여수,2021-06-09,02:21/저/100,08:18/고/263,14:18/저/62,20:52/고/313
속초,2021-06-09,03:33/고/29,07:59/저/25,13:56/고/37,21:25/저/12
부산,2021-06-09,01:25/저/27,07:34/고/103,13:37/저/24,20:00/고/118
포항,2021-06-09,13:58/고/42,22:50/저/28,--:--/-/--/--,--:--/-/--/--
통영,2021-06-09,02:03/저/79,08:00/고/208,14:03/저/49,20:37/고/246
태안,2021-06-09,03:46/고/677,10:04/저/177,15:49/고/606,21:59/저/107
울산,2021-06-09,00:39/저/14,07:09/고/52,12:57/저/22,19:08/고/55
울릉도,2021-06-09,03:48/고/33,07:09/저/32,13:06/고/40,20:55/저/19
제주도,2021-06-09,04:37/저/122,09:42/고/209,16:15/저/69,22:42/고/255
인천,2021-06-09,04:15/고/822,10:35/저/190,16:21/고/750,22:34/저/111
영흥도,2021-06-09,04:08/고/762,10:26/저/171,16:15/고/692,22:26/저/93
목포,2021-06-10,02:17/고/442,07:33/저/107,14:03/고/363,19:24/저/46
여수,2021-06-10,02:56/저/94,08:51/고/268,14:51/저/57,21:26/고/322
속초,2021-06-10,04:16/고/30,08:28/저/26,14:25/고/38,21:58/저/11
부산,2021-06-10,02:00/저/23,08:05/고/105,14:09/저/22,20:34/고/121
포항,2021-06-10,14:22/고/44,23:27/저/27,--:--/-/--/--,--:--/-/--/--
통영,2021-06-10,02:38/저/73,08:31/고/211,14:35/저/45,21:11/고/253
태안,2021-06-10,04:20/고/695,10:40/저/167,16:23/고/612,22:32/저/94
울산,2021-06-10,01:14/저/12,07:43/고/54,13:29/저/23,19:43/고/57
울릉도,2021-06-10,04:40/고/34,07:34/저/33,13:32/고/41,21:30/저/19
제주도,2021-06-10,05:11/저/119,10:14/고/210,16:45/저/63,23:14/고/262
인천,2021-06-10,04:49/고/841,11:11/저/177,16:55/고/759,23:07/저/98
영흥도,2021-06-10,04:44/고/777,11:03/저/161,16:50/고/698,23:00/저/85
목포,2021-06-11,02:53/고/449,08:07/저/102,14:38/고/364,19:56/저/39
여수,2021-06-11,03:30/저/91,09:23/고/270,15:24/저/56,22:01/고/327
속초,2021-06-11,04:59/고/30,08:58/저/27,14:56/고/39,22:33/저/11
부산,2021-06-11,02:33/저/21,08:37/고/107,14:41/저/22,21:09/고/123
포항,2021-06-11,14:55/고/45,--:--/-/--/--,--:--/-/--/--,--:--/-/--/--
통영,2021-06-11,03:11/저/70,09:03/고/212,15:07/저/43,21:45/고/256
태안,2021-06-11,04:54/고/706,11:16/저/163,16:57/고/613,23:05/저/87
울산,2021-06-11,01:47/저/11,08:16/고/55,14:01/저/25,20:17/고/58
울릉도,2021-06-11,05:35/고/35,08:00/저/34,14:01/고/42,22:08/저/19
제주도,2021-06-11,05:44/저/117,10:45/고/211,17:18/저/59,23:47/고/267
인천,2021-06-11,05:22/고/852,11:46/저/171,17:30/고/762,23:41/저/92
영흥도,2021-06-11,05:18/고/784,11:39/저/159,17:24/고/698,23:33/저/84
목포,2021-06-12,03:29/고/453,08:41/저/101,15:14/고/363,20:31/저/35
여수,2021-06-12,04:03/저/91,09:57/고/270,15:59/저/58,22:36/고/326
속초,2021-06-12,05:41/고/30,09:30/저/27,15:30/고/40,23:10/저/11
부산,2021-06-12,03:06/저/20,09:11/고/107,15:14/저/23,21:43/고/123
포항,2021-06-12,00:05/저/28,15:31/고/46,--:--/-/--/--,--:--/-/--/--
통영,2021-06-12,03:45/저/70,09:36/고/212,15:40/저/44,22:21/고/256
태안,2021-06-12,05:27/고/712,11:50/저/165,17:30/고/611,23:38/저/86
울산,2021-06-12,02:21/저/11,08:48/고/56,14:32/저/26,20:49/고/58
울릉도,2021-06-12,14:34/고/42,22:51/저/18,--:--/-/--/--,--:--/-/--/--
제주도,2021-06-12,06:19/저/118,11:19/고/211,17:53/저/59,--:--/-/--/--
인천,2021-06-12,05:56/고/857,12:21/저/172,18:04/고/760,--:--/-/--/--
영흥도,2021-06-12,05:51/고/786,12:13/저/163,17:58/고/695,--:--/-/--/--
목포,2021-06-13,04:05/고/453,09:16/저/102,15:52/고/360,21:07/저/35
여수,2021-06-13,04:39/저/95,10:31/고/265,16:34/저/64,23:13/고/321
속초,2021-06-13,06:28/고/30,10:02/저/28,16:04/고/40,23:50/저/11
부산,2021-06-13,03:40/저/22,09:45/고/106,15:49/저/26,22:19/고/121
포항,2021-06-13,00:45/저/28,16:07/고/47,--:--/-/--/--,--:--/-/--/--
통영,2021-06-13,04:19/저/72,10:11/고/209,16:15/저/49,22:57/고/253
태안,2021-06-13,06:00/고/713,12:25/저/171,18:04/고/607,--:--/-/--/--
울산,2021-06-13,02:55/저/12,09:21/고/56,15:06/저/28,21:22/고/58
울릉도,2021-06-13,15:11/고/42,23:34/저/18,--:--/-/--/--,--:--/-/--/--
제주도,2021-06-13,00:23/고/267,06:57/저/121,11:53/고/209,18:32/저/63
인천,2021-06-13,00:15/저/92,06:29/고/857,12:55/저/178,18:38/고/753
영흥도,2021-06-13,00:06/저/89,06:24/고/786,12:47/저/171,18:31/고/688
목포,2021-06-14,04:41/고/449,09:53/저/107,16:31/고/356,21:45/저/41
여수,2021-06-14,05:16/저/102,11:08/고/257,17:12/저/74,23:52/고/311
속초,2021-06-14,07:22/고/30,10:37/저/28,16:42/고/39,--:--/-/--/--
부산,2021-06-14,04:15/저/25,10:22/고/104,16:27/저/31,22:56/고/118
포항,2021-06-14,01:24/저/28,16:45/고/47,--:--/-/--/--,--:--/-/--/--
통영,2021-06-14,04:55/저/78,10:48/고/204,16:54/저/57,23:36/고/246
태안,2021-06-14,00:12/저/90,06:34/고/708,13:00/저/181,18:38/고/599
울산,2021-06-14,03:29/저/13,09:56/고/55,15:43/저/29,21:54/고/56
울릉도,2021-06-14,15:51/고/41,--:--/-/--/--,--:--/-/--/--,--:--/-/--/--
제주도,2021-06-14,01:02/고/264,07:39/저/127,12:32/고/206,19:14/저/71
인천,2021-06-14,00:49/저/98,07:03/고/852,13:30/저/190,19:13/고/742
영흥도,2021-06-14,00:40/저/97,06:57/고/783,13:21/저/183,19:05/고/679
목포,2021-06-15,05:19/고/443,10:33/저/112,17:13/고/352,22:28/저/53
여수,2021-06-15,05:56/저/111,11:48/고/247,17:55/저/87,--:--/-/--/--
속초,2021-06-15,00:33/저/12,08:19/고/30,11:18/저/29,17:22/고/39
부산,2021-06-15,04:54/저/30,11:03/고/100,17:10/저/36,23:37/고/114
포항,2021-06-15,02:03/저/28,17:25/고/47,--:--/-/--/--,--:--/-/--/--
통영,2021-06-15,05:35/저/86,11:29/고/197,17:37/저/67,--:--/-/--/--
태안,2021-06-15,00:48/저/101,07:10/고/697,13:37/저/192,19:16/고/589
울산,2021-06-15,04:06/저/15,10:35/고/54,16:28/저/31,22:29/고/54
울릉도,2021-06-15,00:19/저/18,16:35/고/39,--:--/-/--/--,--:--/-/--/--
제주도,2021-06-15,01:45/고/259,08:26/저/131,13:16/고/201,20:01/저/82
인천,2021-06-15,01:24/저/112,07:38/고/842,14:06/저/205,19:50/고/728
영흥도,2021-06-15,01:14/저/110,07:32/고/777,13:57/저/196,19:42/고/669
목포,2021-06-16,06:00/고/433,11:17/저/118,18:00/고/348,23:15/저/71
여수,2021-06-16,00:35/고/299,06:42/저/119,12:37/고/237,18:44/저/100
속초,2021-06-16,01:20/저/13,09:14/고/30,12:17/저/29,18:09/고/37
부산,2021-06-16,05:37/저/35,11:52/고/97,18:01/저/41,--:--/-/--/--
포항,2021-06-16,02:43/저/28,18:09/고/46,--:--/-/--/--,--:--/-/--/--
통영,2021-06-16,00:18/고/237,06:20/저/93,12:19/고/190,18:27/저/78
태안,2021-06-16,01:27/저/121,07:49/고/681,14:18/저/202,20:00/고/577
울산,2021-06-16,04:48/저/17,11:21/고/52,17:21/저/32,23:12/고/52
울릉도,2021-06-16,01:04/저/17,17:26/고/37,--:--/-/--/--,--:--/-/--/--
제주도,2021-06-16,02:32/고/251,09:18/저/133,14:11/고/196,20:53/저/94
인천,2021-06-16,02:03/저/134,08:17/고/824,14:46/저/221,20:32/고/711
영흥도,2021-06-16,01:52/저/129,08:10/고/765,14:37/저/209,20:24/고/656
목포,2021-06-17,06:44/고/421,12:07/저/122,18:53/고/348,--:--/-/--/--
여수,2021-06-17,01:24/고/286,07:36/저/124,13:40/고/231,19:46/저/113
속초,2021-06-17,02:09/저/14,09:56/고/30,13:43/저/28,19:06/고/35
부산,2021-06-17,00:23/고/109,06:29/저/39,12:57/고/94,19:03/저/45
포항,2021-06-17,03:26/저/29,19:01/고/44,--:--/-/--/--,--:--/-/--/--
통영,2021-06-17,01:06/고/227,07:14/저/98,13:24/고/186,19:28/저/88
태안,2021-06-17,02:12/저/148,08:34/고/658,15:05/저/210,20:55/고/564
울산,2021-06-17,05:36/저/19,12:24/고/51,18:28/저/33,--:--/-/--/--
울릉도,2021-06-17,01:48/저/17,10:11/고/32,13:18/저/31,18:27/고/35
제주도,2021-06-17,03:24/고/244,10:16/저/131,15:22/고/193,21:54/저/105
인천,2021-06-17,02:46/저/164,09:02/고/799,15:33/저/235,21:24/고/694
영흥도,2021-06-17,02:36/저/155,08:56/고/745,15:23/저/221,21:17/고/645
목포,2021-06-18,00:10/저/94,07:33/고/409,13:04/저/121,19:56/고/353
여수,2021-06-18,02:21/고/275,08:41/저/123,14:59/고/233,21:00/저/121
속초,2021-06-18,03:01/저/15,10:25/고/31,15:18/저/27,20:20/고/33
부산,2021-06-18,01:21/고/105,07:31/저/40,14:19/고/94,20:14/저/46
포항,2021-06-18,04:12/저/30,11:37/고/41,15:43/저/40,20:12/고/42
통영,2021-06-18,02:03/고/220,08:18/저/98,14:45/고/188,20:40/저/94
태안,2021-06-18,03:07/저/180,09:28/고/633,16:03/저/211,22:04/고/560
울산,2021-06-18,00:12/고/49,06:35/저/21,13:42/고/50,19:44/저/32
울릉도,2021-06-18,02:35/저/18,10:09/고/32,14:54/저/29,19:43/고/33
제주도,2021-06-18,04:21/고/238,11:15/저/123,16:51/고/197,23:03/저/114
인천,2021-06-18,03:38/저/201,09:56/고/768,16:29/저/242,22:31/고/686
영흥도,2021-06-18,03:29/저/187,09:50/고/720,16:20/저/224,22:23/고/641
목포,2021-06-19,01:16/저/116,08:30/고/397,14:10/저/112,21:08/고/368
여수,2021-06-19,03:28/고/268,09:50/저/113,16:23/고/246,22:20/저/121
속초,2021-06-19,03:55/저/17,10:49/고/33,16:40/저/24,21:53/고/32
부산,2021-06-19,02:31/고/102,08:41/저/39,15:39/고/99,21:30/저/43
포항,2021-06-19,05:01/저/31,11:58/고/41,17:15/저/38,22:08/고/40
통영,2021-06-19,03:08/고/215,09:27/저/90,16:07/고/198,21:58/저/94
태안,2021-06-19,04:15/저/208,10:33/고/613,17:10/저/199,23:22/고/575
울산,2021-06-19,01:34/고/48,07:44/저/22,14:55/고/51,20:57/저/29
울릉도,2021-06-19,03:24/저/20,10:22/고/32,16:17/저/26,21:21/고/31
제주도,2021-06-19,05:20/고/234,12:11/저/110,18:15/고/210,--:--/-/--/--
인천,2021-06-19,04:44/저/235,11:02/고/742,17:37/저/232,23:49/고/701
영흥도,2021-06-19,04:35/저/217,10:54/고/698,17:26/저/212,23:40/고/658
목포,2021-06-20,02:37/저/129,09:32/고/389,15:18/저/91,22:22/고/394
여수,2021-06-20,04:37/고/268,10:54/저/97,17:35/고/268,23:35/저/112
속초,2021-06-20,04:48/저/19,11:15/고/34,17:48/저/21,23:38/고/31
부산,2021-06-20,03:45/고/103,09:51/저/34,16:48/고/106,22:41/저/37
포항,2021-06-20,05:50/저/34,12:12/고/41,18:20/저/35,--:--/-/--/--
통영,2021-06-20,04:17/고/215,10:33/저/77,17:19/고/215,23:13/저/87
태안,2021-06-20,05:35/저/220,11:45/고/604,18:19/저/170,--:--/-/--/--
울산,2021-06-20,03:02/고/49,08:57/저/23,15:56/고/53,22:03/저/24
울릉도,2021-06-20,04:16/저/22,10:44/고/34,17:24/저/22,23:25/고/31
제주도,2021-06-20,00:18/저/118,06:17/고/231,13:05/저/93,19:24/고/229
인천,2021-06-20,06:03/저/251,12:17/고/733,18:49/저/201,--:--/-/--/--
영흥도,2021-06-20,05:52/저/231,12:05/고/688,18:36/저/181,--:--/-/--/--
목포,2021-06-21,03:58/저/124,10:37/고/385,16:21/저/63,23:31/고/427
여수,2021-06-21,05:42/고/273,11:51/저/77,18:37/고/295,--:--/-/--/--
속초,2021-06-21,05:40/저/22,11:47/고/37,18:46/저/17,--:--/-/--/--
부산,2021-06-21,04:53/고/106,10:54/저/27,17:48/고/114,23:45/저/29
포항,2021-06-21,01:18/고/40,06:39/저/37,12:27/고/42,19:20/저/32
통영,2021-06-21,05:22/고/219,11:32/저/60,18:21/고/236,--:--/-/--/--
태안,2021-06-21,00:38/고/612,06:55/저/210,12:55/고/609,19:22/저/131
울산,2021-06-21,04:19/고/52,10:05/저/23,16:51/고/54,23:00/저/20
울릉도,2021-06-21,05:09/저/26,11:12/고/36,18:22/저/19,--:--/-/--/--
제주도,2021-06-21,01:33/저/117,07:12/고/230,13:56/저/74,20:24/고/251
인천,2021-06-21,01:08/고/744,07:26/저/240,13:30/고/743,19:56/저/153
영흥도,2021-06-21,00:56/고/698,07:13/저/223,13:15/고/693,19:41/저/136
목포,2021-06-22,05:06/저/109,11:39/고/386,17:17/저/33,--:--/-/--/--
여수,2021-06-22,00:40/저/100,06:41/고/281,12:44/저/58,19:33/고/321
속초,2021-06-22,01:12/고/32,06:28/저/24,12:23/고/39,19:41/저/13
부산,2021-06-22,05:54/고/111,11:52/저/20,18:44/고/121,--:--/-/--/--
포항,2021-06-22,03:32/고/42,07:30/저/40,12:49/고/44,20:17/저/30
통영,2021-06-22,00:19/저/76,06:21/고/224,12:27/저/43,19:18/고/255
태안,2021-06-22,01:45/고/661,08:07/저/185,13:58/고/622,20:20/저/91
울산,2021-06-22,05:25/고/56,11:05/저/23,17:44/고/56,23:54/저/15
울릉도,2021-06-22,01:17/고/32,05:58/저/29,11:46/고/39,19:16/저/17
제주도,2021-06-22,02:40/저/112,08:04/고/230,14:46/저/54,21:17/고/272
인천,2021-06-22,02:15/고/802,08:40/저/208,14:34/고/763,20:56/저/102
영흥도,2021-06-22,02:04/고/750,08:25/저/198,14:19/고/707,20:40/저/90
목포,2021-06-23,00:35/고/460,06:05/저/91,12:37/고/388,18:09/저/7
여수,2021-06-23,01:37/저/86,07:34/고/289,13:35/저/41,20:25/고/343
속초,2021-06-23,02:29/고/33,07:15/저/27,13:04/고/42,20:34/저/10
부산,2021-06-23,00:42/저/20,06:50/고/115,12:46/저/15,19:37/고/128
포항,2021-06-23,05:04/고/44,07:45/저/43,13:21/고/47,21:15/저/28
통영,2021-06-23,01:19/저/64,07:15/고/230,13:18/저/28,20:11/고/272
태안,2021-06-23,02:44/고/708,09:10/저/157,14:55/고/636,21:13/저/58
울산,2021-06-23,06:25/고/60,12:01/저/23,18:34/고/59,--:--/-/--/--
울릉도,2021-06-23,02:44/고/34,06:42/저/32,12:23/고/41,20:08/저/15
제주도,2021-06-23,03:41/저/104,08:54/고/232,15:35/저/37,22:08/고/290
인천,2021-06-23,03:15/고/858,09:43/저/173,15:32/고/783,21:50/저/61
영흥도,2021-06-23,03:04/고/798,09:29/저/170,15:17/고/722,21:35/저/53
목포,2021-06-24,01:33/고/488,06:57/저/76,13:32/고/391,18:58/저/-11
